Source,Target
dcemeterygirl,joerwallen
dcemeterygirl,Telegraph
dcemeterygirl,Samaanlateef
dcemeterygirl,Yelegraph
dcemeterygirl,MajorPoonia
dcemeterygirl,RichaChadha
dcemeterygirl,Aadikhan555
dcemeterygirl,majorgauravarya
dcemeterygirl,ravishndtv
dcemeterygirl,ShivAroor
dcemeterygirl,ABUZARRAR9
dcemeterygirl,BasedGhauri24
dcemeterygirl,majorgauravarya
dcemeterygirl,Burn_provider
dcemeterygirl,BasedGhauri24
dcemeterygirl,majorgauravarya
dcemeterygirl,Burn_provider
tarunlalan,thehawkeyex
tarunlalan,MEAIndia
tarunlalan,IndiaembFrance
tarunlalan,anandmahindra
tarunlalan,SerumInstIndia
tarunlalan,BharatBiotech
tarunlalan,SJosephBurns
tarunlalan,AndColorPockeT
tarunlalan,goodalexander
tarunlalan,SamKhan999
tarunlalan,FayazAhmadFyzie
tarunlalan,seriousfunnyguy
tarunlalan,bennis_abdelali
tarunlalan,ashoswai
tarunlalan,scroll_in
tarunlalan,ashoswai
tarunlalan,ashoswai
tarunlalan,zainabsikander
tarunlalan,ashoswai
tarunlalan,ashoswai
tarunlalan,Profdilipmandal
tarunlalan,AamAadmiParty
tarunlalan,BhagwantMann
tarunlalan,drshamamohd
tarunlalan,cartoonistrrs
tarunlalan,vivekagnihotri
tarunlalan,AnupamPKher
tarunlalan,EstherSolomon
tarunlalan,bainjal
tarunlalan,haaretzcom
tarunlalan,rohini_sgh
tarunlalan,akshaykumar
tarunlalan,drshamamohd
tarunlalan,rohini_sgh
tarunlalan,rohini_sgh
tarunlalan,rohini_sgh
tarunlalan,OfficialSauravD
tarunlalan,mehdirhasan
tarunlalan,MehdiHasanShow
tarunlalan,PeterSweden7
tarunlalan,MadhavSingh_93
tarunlalan,RahulGandhi
tarunlalan,ashoswai
tarunlalan,drshamamohd
tarunlalan,Borrochina9819
tarunlalan,Siddharthgiri_J
tarunlalan,abhiirajput11
tarunlalan,GAUAHAR_KHAN
tarunlalan,TimesNow
tarunlalan,ShrutiNanda17
tarunlalan,TimesNow
tarunlalan,ShrutiNanda17
tarunlalan,TimesNow
tarunlalan,ShrutiNanda17
tarunlalan,khanumarfa
tarunlalan,khanumarfa
tarunlalan,svaradarajan
tarunlalan,khanumarfa
tarunlalan,svaradarajan
tarunlalan,PChidambaram_IN
tarunlalan,khanumarfa
tarunlalan,SaralPatel
Arjun_S_R,MarioNawfal
Arjun_S_R,AsmaZehradr
Arjun_S_R,Cobratate
Arjun_S_R,GretaThunberg
Arjun_S_R,Chaos2Cured
Arjun_S_R,MattWallace888
Arjun_S_R,GretaThunberg
Arjun_S_R,DimartinDi
Arjun_S_R,David_Challen
Arjun_S_R,rulajebreal
Arjun_S_R,AmyMek
Arjun_S_R,ShekharGupta
Arjun_S_R,HateDetectors
Arjun_S_R,Apsterashtra
Arjun_S_R,ShivAroor
Arjun_S_R,PhilkLocke
Arjun_S_R,NdeM
Arjun_S_R,DVATW
Arjun_S_R,NdeM
Arjun_S_R,DVATW
Arjun_S_R,amibeingcynical
Arjun_S_R,HateDetectors
Arjun_S_R,veerappavenkap1
Arjun_S_R,NyayPrayaas
Arjun_S_R,ARanganathan72
Arjun_S_R,SmritiIraniOffc
Arjun_S_R,sophielouisecc
Arjun_S_R,L666RGY
Arjun_S_R,zahacktanvir
Arjun_S_R,drshamamohd
Arjun_S_R,RahulGandhi
Arjun_S_R,ShivAroor
Arjun_S_R,minicnair
Arjun_S_R,DrEricDing
Arjun_S_R,VeengasJ
Arjun_S_R,SudheerPadiyar
Arjun_S_R,siddarthpaim
Arjun_S_R,kris_sg
Arjun_S_R,dpradhanbjp
Arjun_S_R,Rajeev_GoI
Arjun_S_R,AshwiniSahaya
Arjun_S_R,elonmusk
Arjun_S_R,Twitter
Arjun_S_R,Policy
Arjun_S_R,narendramodi
Arjun_S_R,MIB_India
Arjun_S_R,ianuragthakur
Arjun_S_R,AshwiniVaishnaw
Arjun_S_R,HMOIndia
Arjun_S_R,shalabhmani
Arjun_S_R,sudhirchaudhary
Arjun_S_R,elonmusk
Arjun_S_R,ArnazHathiram
Arjun_S_R,rishibagree
Arjun_S_R,drshamamohd
Arjun_S_R,KhaledBeydoun
Arjun_S_R,BlrCityPolice
Arjun_S_R,sampigehallips
Arjun_S_R,DCPNEBCP
Arjun_S_R,Karthik_Patri
Arjun_S_R,Karthik_Patri
Arjun_S_R,ShivAroor
Arjun_S_R,AmyMek
Arjun_S_R,ShefVaidya
Arjun_S_R,UnSubtleDesi
Arjun_S_R,KhaledBeydoun
Arjun_S_R,manuvichar
Arjun_S_R,KhaledBeydoun
Arjun_S_R,Morocco_UN
Arjun_S_R,KhaledBeydoun
Arjun_S_R,ReallySwara
Arjun_S_R,muneebAB
Arjun_S_R,Tariqhossen1
Arjun_S_R,KhaledBeydoun
Arjun_S_R,sbabones
Arjun_S_R,PreityUpala
Arjun_S_R,minicnair
Arjun_S_R,bongtimes
Arjun_S_R,minicnair
Arjun_S_R,minicnair
Arjun_S_R,svaradarajan
Arjun_S_R,rishibagree
Arjun_S_R,NyayPrayaas
Arjun_S_R,NCWIndia
Arjun_S_R,DCWDelhi
Arjun_S_R,ShashiTharoor
Arjun_S_R,NyayPrayaas
Arjun_S_R,NCWIndia
Arjun_S_R,DCWDelhi
Arjun_S_R,KirenRijiju
Arjun_S_R,SaneMind9
Arjun_S_R,KhaledBeydoun
Arjun_S_R,ashoswai
Arjun_S_R,sbabones
Arjun_S_R,JeetaJagtaMurda
Arjun_S_R,majorgauravarya
Arjun_S_R,Mubashir4muneer
Arjun_S_R,majorgauravarya
Arjun_S_R,dranees2001
Arjun_S_R,PanickarS
Arjun_S_R,AJEnglish
Arjun_S_R,dhruv_rathee
Arjun_S_R,WasiqUK
Arjun_S_R,ashoswai
Arjun_S_R,ashoswai
Arjun_S_R,Muzamil83542640
Arjun_S_R,ashoswai
Arjun_S_R,KhaledBeydoun
Arjun_S_R,ReallySwara
Arjun_S_R,shaikhshameela
Arjun_S_R,Israel
Arjun_S_R,danielocarmon
Arjun_S_R,ianuragthakur
Arjun_S_R,IndiaHistorypic
Arjun_S_R,NaorGilon
Arjun_S_R,RoopaliSriv
Arjun_S_R,afsheenkhan594
Arjun_S_R,NeerajY06598806
Arjun_S_R,KhaledBeydoun
Arjun_S_R,BarakRavid
Arjun_S_R,NaorGilon
Arjun_S_R,EmmanuelNahshon
Arjun_S_R,ianuragthakur
Arjun_S_R,KobbiShoshani
Arjun_S_R,AdityaRajKaul
Arjun_S_R,IsraelinIndia
Arjun_S_R,NetflixIndia
Arjun_S_R,khanthefatima
Arjun_S_R,PanickarS
Arjun_S_R,riyasdyfi
Arjun_S_R,pinarayivijayan
Arjun_S_R,minicnair
Arjun_S_R,ajitdatta
Arjun_S_R,orgasamist
Arjun_S_R,PanickarS
Arjun_S_R,Sakt_launda1
Arjun_S_R,ArnazHathiram
Arjun_S_R,IAmSudhirMishra
Arjun_S_R,barandbench
Arjun_S_R,SeharShinwari
Arjun_S_R,jyotiTpandey05
Arjun_S_R,palkisu
Arjun_S_R,CharlotteFLit
Arjun_S_R,Baddiel
Arjun_S_R,JewishChron
Arjun_S_R,jihadwatchRS
Arjun_S_R,PanickarS
Arjun_S_R,StutiNMishra
Arjun_S_R,dr_vee95
Arjun_S_R,Ambar_SIFF_MRA
Arjun_S_R,Voice_For_India
Arjun_S_R,drthomasisaac
Arjun_S_R,concern13161846
Arjun_S_R,btppubliceye
Arjun_S_R,blrcitytraffic
Arjun_S_R,nitin_gadkari
Arjun_S_R,Ambar_SIFF_MRA
Arjun_S_R,Shaurya_Courage
Arjun_S_R,ArnazHathiram
