Source,Target
sanjuktaroyvai1,SR_Tmc007
sanjuktaroyvai1,tanmoyofc
sanjuktaroyvai1,itsyourTATHA
sanjuktaroyvai1,BIJOY_AITC
sanjuktaroyvai1,AITCSanghamitra
sanjuktaroyvai1,aitcsudip
sanjuktaroyvai1,Sanjib_Haloai
sanjuktaroyvai1,AITC4Tripura
sanjuktaroyvai1,AITCofficial
sanjuktaroyvai1,TMC_Supporters
sanjuktaroyvai1,DebarghoAITC
sanjuktaroyvai1,ChinVij
sanjuktaroyvai1,MojoRojo
sanjuktaroyvai1,filmfare
sanjuktaroyvai1,Maa_mylife
sanjuktaroyvai1,ShivAroor
sanjuktaroyvai1,divyya
sanjuktaroyvai1,iwinfairly
sanjuktaroyvai1,VinamreKasanaa
sanjuktaroyvai1,suvojitc
sanjuktaroyvai1,j_re_ka
sanjuktaroyvai1,memenist_
sanjuktaroyvai1,ANI
sanjuktaroyvai1,ANI
sanjuktaroyvai1,MissMalini
sanjuktaroyvai1,aliaa08
sanjuktaroyvai1,Roymouni
sanjuktaroyvai1,SrBachchan
sanjuktaroyvai1,KochraNawaz
sanjuktaroyvai1,tarantinogod
sanjuktaroyvai1,BeerBicepsGuy
sanjuktaroyvai1,VinamreKasanaa
sanjuktaroyvai1,prvkhvr
sanjuktaroyvai1,BorntobeAshwani
sanjuktaroyvai1,SumitkadeI
sanjuktaroyvai1,SauravSabnis
sanjuktaroyvai1,BBTheorist
sanjuktaroyvai1,venkybengaluru
sanjuktaroyvai1,smitabarooah
sanjuktaroyvai1,hubby8420
sanjuktaroyvai1,harshmadhusudan
sanjuktaroyvai1,ssrajamouli
sanjuktaroyvai1,taimour_ul
sanjuktaroyvai1,iamsrk
sanjuktaroyvai1,OfficialSauravD
sanjuktaroyvai1,ReallySwara
sanjuktaroyvai1,yadavtejashwi
sanjuktaroyvai1,shirazarshi
sanjuktaroyvai1,tathagata2
sanjuktaroyvai1,HMOIndia
sanjuktaroyvai1,SBILifeCares
sanjuktaroyvai1,HardeepSPuri
sanjuktaroyvai1,DelhiPolice
sanjuktaroyvai1,PMOIndia
sanjuktaroyvai1,AmitShah
sanjuktaroyvai1,HMOIndia
sanjuktaroyvai1,PIBHomeAffairs
sanjuktaroyvai1,DrSJaishankar
sanjuktaroyvai1,MEAIndia
sanjuktaroyvai1,IndiaUNNewYork
sanjuktaroyvai1,IndiainMyanmar
sanjuktaroyvai1,ianuragthakur
sanjuktaroyvai1,Shehzad_Ind
sanjuktaroyvai1,IndianDiplomacy
sanjuktaroyvai1,HardeepSPuri
sanjuktaroyvai1,DelhiPolice
sanjuktaroyvai1,PMOIndia
sanjuktaroyvai1,AmitShah
sanjuktaroyvai1,HMOIndia
sanjuktaroyvai1,PIBHomeAffairs
sanjuktaroyvai1,DrSJaishankar
sanjuktaroyvai1,MEAIndia
sanjuktaroyvai1,IndiaUNNewYork
sanjuktaroyvai1,IndiainMyanmar
sanjuktaroyvai1,ianuragthakur
sanjuktaroyvai1,Shehzad_Ind
sanjuktaroyvai1,IndianDiplomacy
sanjuktaroyvai1,mdrafikahmed127
sanjuktaroyvai1,ZainTHT_3
sanjuktaroyvai1,sameeksha100
sanjuktaroyvai1,Yi_nuo_Lena
sanjuktaroyvai1,piya_unturned
